"Time (s)","Latitude (Â°)","Longitude (Â°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (Â°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.109824996E2,4.293722015E1,-7.888747117E1,1.775671287E2,1.429914869E2,1.708818279E1,2.546728736E2,1.994289436E0,4.760604424E0,3.340835607E0,-1.000000000E0
1.119824954E2,4.293716357E1,-7.888767053E1,1.778803568E2,1.433047990E2,1.736216174E1,2.513043988E2,2.011810417E0,4.766740542E0,3.332074675E0,-1.000000000E0
1.129824909E2,4.293710036E1,-7.888786768E1,1.777667122E2,1.431912557E2,1.757934932E1,2.475440840E2,2.029658870E0,4.768086604E0,3.330148221E0,-1.000000000E0
1.139824862E2,4.293702158E1,-7.888805871E1,1.778081060E2,1.432327914E2,1.779174164E1,2.432805746E2,2.047922519E0,4.765796066E0,3.333425399E0,-1.000000000E0
1.149824820E2,4.293693336E1,-7.888824795E1,1.775857005E2,1.430105520E2,1.807654192E1,2.397119481E2,2.065695605E0,4.762593948E0,3.337998790E0,-1.000000000E0
1.159824781E2,4.293684078E1,-7.888842593E1,1.777276601E2,1.431526917E2,1.803261621E1,2.355805464E2,2.084281790E0,4.759291578E0,3.342705597E0,-1.000000000E0
1.169824730E2,4.293672966E1,-7.888859648E1,1.779769953E2,1.434022555E2,1.828385123E1,2.310504020E2,2.102532226E0,4.759451336E0,3.342478124E0,-1.000000000E0
1.179824681E2,4.293661573E1,-7.888875787E1,1.781388023E2,1.435643007E2,1.837288434E1,2.277760579E2,2.121363836E0,4.764879266E0,3.334735763E0,-1.000000000E0
1.189824638E2,4.293650025E1,-7.888892708E1,1.786806731E2,1.441064114E2,1.875236683E1,2.271464143E2,2.139575734E0,4.795353792E0,3.290762684E0,-1.000000000E0
1.199824593E2,4.293638566E1,-7.888908692E1,1.786795535E2,1.441055321E2,1.857311707E1,2.267890729E2,2.159009432E0,4.777350112E0,3.316845330E0,-1.000000000E0
1.209824551E2,4.293626012E1,-7.888925300E1,1.786053653E2,1.440316099E2,1.902357974E1,2.255654009E2,2.177677509E0,4.773071864E0,3.322998949E0,-1.000000000E0
1.219824507E2,4.293614048E1,-7.888941388E1,1.783140337E2,1.437405308E2,1.890772786E1,2.248364247E2,2.196377379E0,4.774170992E0,3.321419632E0,-1.000000000E0
1.229824461E2,4.293602489E1,-7.888958073E1,1.780628563E2,1.434895943E2,1.890169418E1,2.257721652E2,2.214889210E0,4.777616163E0,3.316462095E0,-1.000000000E0
1.239824418E2,4.293590930E1,-7.888974438E1,1.781720604E2,1.435990399E2,1.883753727E1,2.260429988E2,2.233354176E0,4.775804010E0,3.319071119E0,-1.000000000E0
1.249824371E2,4.293579593E1,-7.888991011E1,1.783281075E2,1.437553225E2,1.862019471E1,2.260343756E2,2.252059294E0,4.776962564E0,3.317403456E0,-1.000000000E0
1.259824321E2,4.293567983E1,-7.889007638E1,1.781867903E2,1.436142474E2,1.868604519E1,2.261247183E2,2.270413959E0,4.777079709E0,3.317234765E0,-1.000000000E0
1.269824274E2,4.293556451E1,-7.889023770E1,1.782759123E2,1.437036111E2,1.859733176E1,2.259836759E2,2.289137089E0,4.779517787E0,3.313720983E0,-1.000000000E0
1.279824237E2,4.293544636E1,-7.889040157E1,1.785246946E2,1.439526413E2,1.864633562E1,2.257759924E2,2.307186575E0,4.775326049E0,3.319758749E0,-1.000000000E0
1.289824190E2,4.293533572E1,-7.889056380E1,1.790379502E2,1.444661265E2,1.837502288E1,2.263035092E2,2.325664886E0,4.772050569E0,3.324465431E0,-1.000000000E0
1.299824136E2,4.293522013E1,-7.889072688E1,1.790264114E2,1.444548293E2,1.843373245E1,2.259024365E2,2.344004614E0,4.772699552E0,3.323533665E0,-1.000000000E0
1.309824101E2,4.293510770E1,-7.889089171E1,1.793071175E2,1.447357687E2,1.841396814E1,2.259974925E2,2.362503066E0,4.771825426E0,3.324788585E0,-1.000000000E0
1.319824046E2,4.293499232E1,-7.889105541E1,1.793224580E2,1.447513501E2,1.856523095E1,2.259447853E2,2.380870474E0,4.768461573E0,3.329611278E0,-1.000000000E0
1.329824004E2,4.293488040E1,-7.889122135E1,1.805019825E2,1.459311062E2,1.852938066E1,2.266448679E2,2.399400814E0,4.774439489E0,3.321033665E0,-1.000000000E0
1.339828634E2,4.293476561E1,-7.889138636E1,1.806278935E2,1.460572562E2,1.856872866E1,2.261283692E2,2.417801817E0,4.779747755E0,3.313389267E0,-1.000000000E0
1.349828609E2,4.293465130E1,-7.889154979E1,1.803888967E2,1.458184977E2,1.851999422E1,2.257135563E2,2.436603303E0,4.787736674E0,3.301835032E0,-1.000000000E0
1.359828566E2,4.293453307E1,-7.889171490E1,1.812046780E2,1.466345266E2,1.866181243E1,2.256931492E2,2.455441622E0,4.774953042E0,3.320295240E0,-1.000000000E0
1.369828607E2,4.293441508E1,-7.889188096E1,1.826004012E2,1.480304965E2,1.883632321E1,2.257968269E2,2.474645686E0,4.779288841E0,3.314051177E0,-1.000000000E0
1.379828647E2,4.293429426E1,-7.889204952E1,1.819154286E2,1.473457769E2,1.908946621E1,2.249671819E2,2.493880999E0,4.784770372E0,3.306132109E0,-1.000000000E0
1.389828626E2,4.293416590E1,-7.889220791E1,1.819672321E2,1.473978551E2,1.917272936E1,2.227591335E2,2.512936591E0,4.798286991E0,3.286484289E0,-1.000000000E0
1.399828674E2,4.293403036E1,-7.889235115E1,1.831909725E2,1.486218925E2,1.914052602E1,2.196694064E2,2.532900796E0,4.812496722E0,3.265641182E0,-1.000000000E0
1.409828700E2,4.293388399E1,-7.889249316E1,1.833288573E2,1.487601018E2,1.938003983E1,2.168476022E2,2.554095496E0,4.817694646E0,3.257967975E0,-1.000000000E0
1.419828682E2,4.293372167E1,-7.889262964E1,1.832931115E2,1.487247219E2,2.004901492E1,2.137216022E2,2.574987250E0,4.796973234E0,3.288401561E0,-1.000000000E0
1.429828714E2,4.293355643E1,-7.889275177E1,1.850313621E2,1.504633498E2,2.030336455E1,2.099112367E2,2.595618119E0,4.786488617E0,3.303644010E0,-1.000000000E0
1.439828702E2,4.293338819E1,-7.889285864E1,1.859091184E2,1.513414953E2,2.052752169E1,2.064580276E2,2.616582323E0,4.787497435E0,3.302181906E0,-1.000000000E0
1.449828659E2,4.293321149E1,-7.889294844E1,1.850209462E2,1.504537383E2,2.040816784E1,2.028310674E2,2.637686216E0,4.786573899E0,3.303520447E0,-1.000000000E0
