"Time (s)","Pressure (hPa)"
4.734162557E1,1.000555908E3
4.738162656E1,1.000514160E3
4.742162125E1,1.000463562E3
4.746162073E1,1.000541504E3
4.750162333E1,1.000501343E3
4.754162646E1,1.000427612E3
4.758163490E1,1.000429321E3
4.762162333E1,1.000462769E3
4.766162375E1,1.000520081E3
4.770162604E1,1.000519653E3
4.774162437E1,1.000549194E3
4.778163208E1,1.000564819E3
4.782162812E1,1.000538696E3
4.786162687E1,1.000541016E3
4.790162448E1,1.000533691E3
4.794162583E1,1.000533997E3
4.798162323E1,1.000567932E3
4.802163021E1,1.000546204E3
4.806163031E1,1.000501038E3
4.810162771E1,1.000530273E3
4.814163281E1,1.000538391E3
4.818162802E1,1.000538879E3
4.822162146E1,1.000547119E3
4.826162167E1,1.000548828E3
4.830161865E1,1.000538879E3
4.834162156E1,1.000546814E3
4.838162531E1,1.000538513E3
4.842161990E1,1.000546509E3
4.846162375E1,1.000535400E3
4.850163187E1,1.000586487E3
