"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.199397678E0,-1.995499991E-2,2.374999924E-3,4.702000022E-1
7.219441613E0,-3.893699870E-2,4.445400089E-2,3.879629970E-1
7.239485616E0,-8.478300273E-2,1.044790000E-1,1.787350029E-1
7.259529382E0,-6.786400080E-2,8.560500294E-2,3.162899986E-2
7.279573394E0,-5.074800178E-2,7.589899749E-2,1.497379988E-1
7.299617394E0,6.102399901E-2,-1.719200052E-2,2.611989975E-1
7.319661320E0,1.218049973E-1,-1.283120066E-1,3.332760036E-1
7.339705318E0,1.012400016E-1,-1.089019999E-1,3.577120006E-1
7.359749089E0,6.758899987E-2,-2.038300037E-2,2.894780040E-1
7.379793082E0,-1.182099991E-2,9.800700098E-2,3.271900117E-1
7.399837082E0,-6.492400169E-2,8.926899731E-2,4.880619943E-1
7.419881022E0,-1.336369962E-1,1.007900015E-1,6.619259715E-1
7.439925020E0,-9.111399949E-2,6.369499862E-2,5.464619994E-1
7.459969015E0,-7.414299995E-2,1.000839993E-1,3.702850044E-1
