"Time (s)","Pressure (hPa)"
9.009890708E1,9.976848145E2
9.013892088E1,9.976738281E2
9.017891567E1,9.976682129E2
9.021891692E1,9.976621094E2
9.025889911E1,9.976849365E2
9.029887630E1,9.976771240E2
9.033890901E1,9.976996460E2
9.037890901E1,9.976824341E2
9.041891922E1,9.976873169E2
9.045890349E1,9.976993408E2
9.049890958E1,9.976938477E2
9.053891416E1,9.976908569E2
9.057890099E1,9.976760254E2
9.061892265E1,9.976844482E2
9.065890390E1,9.976813354E2
9.069890526E1,9.976943359E2
9.073890422E1,9.976885376E2
9.077890005E1,9.977097778E2
9.081890875E1,9.977182007E2
9.085889651E1,9.976905518E2
9.089890474E1,9.976848145E2
9.093890526E1,9.976866455E2
9.097891291E1,9.976866455E2
9.101890422E1,9.976802368E2
9.105889942E1,9.976916504E2
9.109890390E1,9.976930542E2
9.113890849E1,9.976770020E2
9.117890932E1,9.976944580E2
9.121889922E1,9.976793213E2
9.125890078E1,9.976863403E2
9.129890015E1,9.977200928E2
9.133889994E1,9.977066650E2
9.137889984E1,9.976947632E2
9.141890380E1,9.977124634E2
9.145890182E1,9.976918335E2
9.149890922E1,9.976979370E2
9.153891708E1,9.976887207E2
9.157891067E1,9.976835327E2
9.161890942E1,9.976834106E2
9.165890567E1,9.976938477E2
9.169889849E1,9.976913452E2
9.173887958E1,9.976899414E2
9.177890838E1,9.976868286E2
9.181891109E1,9.977025757E2
9.185891932E1,9.976757202E2
9.189891411E1,9.976718140E2
9.193890734E1,9.976611938E2
9.197892172E1,9.976754150E2
9.201891796E1,9.976578979E2
9.205890536E1,9.976843262E2
9.209892192E1,9.976704102E2
9.213890099E1,9.976795044E2
9.217890005E1,9.976687012E2
9.221890297E1,9.976805420E2
9.225890505E1,9.976782227E2
9.229891401E1,9.976649170E2
9.233890484E1,9.976688232E2
9.237891151E1,9.976704102E2
9.241891224E1,9.976702881E2
9.245891828E1,9.976632080E2
9.249890807E1,9.976685181E2
9.253892005E1,9.976688232E2
9.257890182E1,9.976766357E2
9.261889609E1,9.976743164E2
9.265887130E1,9.976751099E2
9.269887422E1,9.976770020E2
9.273891297E1,9.976574707E2
9.277891078E1,9.976765137E2
9.281897505E1,9.976866455E2
9.285889666E1,9.976735229E2
9.289890442E1,9.976781006E2
9.293890807E1,9.976857300E2
9.297891119E1,9.976902466E2
9.301891375E1,9.976869507E2
9.305890630E1,9.976774292E2
9.309890255E1,9.977061768E2
9.313890828E1,9.976944580E2
9.317890536E1,9.977071533E2
9.321891744E1,9.977011719E2
9.325890567E1,9.977182007E2
9.329889797E1,9.977133789E2
9.333890859E1,9.977086792E2
9.337890463E1,9.977121582E2
9.341890567E1,9.977150879E2
9.345890682E1,9.977069702E2
9.349891317E1,9.976715088E2
9.353889567E1,9.976902466E2
9.357889599E1,9.976834106E2
9.361890380E1,9.976874390E2
9.365888640E1,9.976835327E2
9.369887901E1,9.977036743E2
9.373887953E1,9.977063599E2
9.377887432E1,9.977182007E2
9.381892297E1,9.976993408E2
9.385889349E1,9.976852417E2
9.389890932E1,9.976880493E2
9.393890458E1,9.977072754E2
9.397891713E1,9.976952515E2
9.401890119E1,9.976907349E2
9.405890291E1,9.976958618E2
9.409890401E1,9.976879272E2
