"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
8.565648812E1,4.300838236E1,-7.878525394E1,1.901101393E2,1.480000019E0,1.431000061E2,3.790092468E0,2.500000000E0
8.665685223E1,4.300837268E1,-7.878524079E1,1.901247670E2,1.490000010E0,1.383999939E2,3.790092468E0,2.500000000E0
8.765697795E1,4.300836274E1,-7.878522801E1,1.900144553E2,1.490000010E0,1.396000061E2,3.790092468E0,2.500000000E0
8.865699836E1,4.300835267E1,-7.878521505E1,1.899812308E2,1.500000000E0,1.383999939E2,3.790092468E0,2.500000000E0
8.965696654E1,4.300834285E1,-7.878520144E1,1.896558923E2,1.490000010E0,1.400000000E2,3.790092468E0,2.500000000E0
9.065687382E1,4.300833339E1,-7.878518750E1,1.893087038E2,1.470000029E0,1.368999939E2,3.790092468E0,2.500000000E0
9.165684596E1,4.300832331E1,-7.878517369E1,1.894545562E2,1.500000000E0,1.381999969E2,3.790092468E0,2.500000000E0
9.265673590E1,4.300831353E1,-7.878516012E1,1.888834292E2,1.500000000E0,1.381999969E2,3.790092468E0,2.500000000E0
9.365663381E1,4.300830327E1,-7.878514657E1,1.887824551E2,1.500000000E0,1.383000031E2,3.790092468E0,2.500000000E0
9.465709865E1,4.300829337E1,-7.878513273E1,1.884953855E2,1.529999971E0,1.361000061E2,3.790092468E0,2.500000000E0
9.565707344E1,4.300828375E1,-7.878511886E1,1.880364413E2,1.509999990E0,1.343000031E2,3.790092468E0,2.500000000E0
9.665664619E1,4.300827474E1,-7.878510436E1,1.881979815E2,1.509999990E0,1.318999939E2,3.790092468E0,2.500000000E0
9.765634885E1,4.300826554E1,-7.878508967E1,1.882782835E2,1.580000043E0,1.321000061E2,3.790092468E0,2.500000000E0
9.865712952E1,4.300825675E1,-7.878507460E1,1.882146652E2,1.539999962E0,1.295000000E2,3.790092468E0,2.500000000E0
9.965620290E1,4.300824851E1,-7.878505909E1,1.879877788E2,1.559999943E0,1.278000031E2,3.790092468E0,2.500000000E0
1.006569231E2,4.300824064E1,-7.878504298E1,1.878877850E2,1.549999952E0,1.240000000E2,3.790092468E0,2.500000000E0
1.016569228E2,4.300823325E1,-7.878502573E1,1.876083484E2,1.600000024E0,1.226999969E2,3.790092468E0,2.500000000E0
1.026563165E2,4.300822607E1,-7.878500856E1,1.869428038E2,1.580000043E0,1.213000031E2,3.790092468E0,2.500000000E0
1.036562850E2,4.300821963E1,-7.878499121E1,1.872368553E2,1.580000043E0,1.194000015E2,3.790092468E0,2.500000000E0
1.046570336E2,4.300821429E1,-7.878497259E1,1.870728395E2,1.580000043E0,1.156999969E2,3.790092468E0,2.500000000E0
1.056567308E2,4.300820963E1,-7.878495489E1,1.871871456E2,1.570000052E0,1.110999985E2,3.790092468E0,2.500000000E0
1.066565098E2,4.300820609E1,-7.878493612E1,1.876011970E2,1.750000000E0,1.070999985E2,3.790092468E0,2.500000000E0
1.076562427E2,4.300820356E1,-7.878491604E1,1.878398959E2,1.750000000E0,1.036999969E2,3.790092468E0,2.500000000E0
1.086568882E2,4.300820149E1,-7.878489592E1,1.878516059E2,1.720000029E0,1.011999969E2,3.790092468E0,2.500000000E0
1.096565514E2,4.300819978E1,-7.878487515E1,1.877832383E2,1.720000029E0,9.930000305E1,3.790092468E0,2.500000000E0
1.106564856E2,4.300819889E1,-7.878485467E1,1.878840617E2,1.720000029E0,9.759999847E1,3.790092468E0,2.500000000E0
1.116571483E2,4.300819762E1,-7.878483383E1,1.880916958E2,1.720000029E0,9.750000000E1,3.790092468E0,2.500000000E0
1.126571404E2,4.300819625E1,-7.878481342E1,1.879100476E2,1.710000038E0,9.590000153E1,3.790092468E0,2.500000000E0
1.136565508E2,4.300819723E1,-7.878479282E1,1.876152444E2,1.769999981E0,9.000000000E1,3.790092468E0,2.500000000E0
1.146562559E2,4.300819928E1,-7.878477155E1,1.880272912E2,1.730000019E0,8.659999847E1,3.790092468E0,2.500000000E0
1.156570520E2,4.300820251E1,-7.878475115E1,1.881303193E2,1.669999957E0,8.069999695E1,3.790092468E0,2.500000000E0
1.166571604E2,4.300820755E1,-7.878473230E1,1.880174086E2,1.639999986E0,7.759999847E1,3.790092468E0,2.500000000E0
1.176569940E2,4.300821352E1,-7.878471411E1,1.875141800E2,1.620000005E0,6.840000153E1,3.790092468E0,2.500000000E0
1.186566423E2,4.300822103E1,-7.878469782E1,1.868769825E2,1.590000033E0,6.290000153E1,3.790092468E0,2.500000000E0
1.196569544E2,4.300822945E1,-7.878468266E1,1.867135418E2,1.559999943E0,5.900000000E1,3.790092468E0,2.500000000E0
1.206568818E2,4.300823704E1,-7.878466756E1,1.863461811E2,1.629999995E0,5.920000076E1,3.790092468E0,2.500000000E0
1.216569188E2,4.300824305E1,-7.878465029E1,1.862847253E2,1.690000057E0,6.580000305E1,3.790092468E0,2.500000000E0
1.226571449E2,4.300824917E1,-7.878463379E1,1.865389436E2,1.600000024E0,6.459999847E1,3.790092468E0,2.500000000E0
1.236570408E2,4.300825538E1,-7.878461920E1,1.860434068E2,1.500000000E0,6.070000076E1,3.790092468E0,2.500000000E0
1.246571724E2,4.300826251E1,-7.878460729E1,1.857428185E2,1.460000038E0,4.850000000E1,3.790092468E0,2.500000000E0
1.256562613E2,4.300827018E1,-7.878459881E1,1.855788288E2,1.250000000E0,4.279999924E1,3.790092468E0,2.500000000E0
1.266563481E2,4.300827415E1,-7.878459684E1,1.855322657E2,3.899999857E-1,3.390000153E1,3.790092468E0,2.500000000E0
1.276564034E2,4.300827033E1,-7.878460493E1,1.856344947E2,1.080000043E0,2.343999939E2,3.790092468E0,2.500000000E0
1.286564432E2,4.300826074E1,-7.878461579E1,1.855235181E2,1.220000029E0,2.083000031E2,3.790092468E0,2.500000000E0
1.296571028E2,4.300825575E1,-7.878461958E1,1.855817987E2,1.599999964E-1,1.996999969E2,3.790092468E0,2.500000000E0
1.306568776E2,4.300825527E1,-7.878462087E1,1.856023670E2,1.899999976E-1,1.978999939E2,3.790092468E0,2.541070223E0
